left_equipment_category,left_manufacturer_name,left_model_name,left_dimensions,right_model_name,right_dimensions,join_confidence,join_reasoning
Antenna,Kathrein,7500100022,810 x 2490 x 1740 mm,7500100022,~810 x ~2490 x ~1740 mm,1.0,Candidate 1 has an exact model name match (score 1.0) and highly similar dimensions (score 0.93). No other candidate has an exact model name match. This makes candidate 1 the best and most confident match.
Antenna,Kathrein,K5231187H,~810 x ~2490 x ~1740,K5231187H,~810 x ~2490 x ~1740 mm,1.0,Candidate 1 has an exact model name match (score 1.0) and highly similar dimensions (score 0.93). No other candidate has a perfect model name match. This is the clear best match according to the prioritization rules.
Antenna,Unknown,75010008,2490mm x 1740mm x 850mm,75010008,~2490 x ~1740 x ~850 mm,0.98,"Candidate 1 has an exact model name match (score 1.0) and high dimension similarity (score 0.826). No other candidate has an exact model name match. According to the instructions, exact model name matches are prioritized even if dimensions are slightly different."
Antenna,Kathrein,601768,2200 x 830,601768,~2200 x ~830 mm,0.99,"Candidate 1 has an exact model name match ('601768') and highly similar dimensions ('2200 x 830' vs. '~2200 x ~830 mm'), resulting in a perfect model match score and high dimension similarity. No other candidate has an exact model match. This is the clear best match."
Antenna,Kathrein,CA5-400,800 x 364 x 102 mm,CA5-400,31.5 x 14.3 x 4 inches (800 x 364 x 102 mm),1.0,"Candidate 1 has an exact match on model_name ('CA5-400'), which is the highest priority. The dimensions also match exactly ('800 x 364 x 102 mm'), confirming it is the correct catalog entry. No other candidate matches both fields as closely."
Antenna,Kathrein,K733147,910mm x 190mm x 1020mm,K733147,910 x 190 x 1020 mm,1.0,"Candidate 1 has an exact match on model_name ('K733147') and very high similarity in dimensions ('910mm x 190mm x 1020mm' vs '910 x 190 x 1020 mm'). The model name match is prioritized, and the dimension format difference is negligible. No other candidate has an exact model name match."
Antenna,Kathrein,7500100040,1300 x 1300 x 445 mm,7500100040,~1300 x ~1300 x ~443 mm,1.0,"Candidate 1 has an exact model name match ('7500100040') and highly similar dimensions ('1300 x 1300 x 445 mm' vs '~1300 x ~1300 x ~443 mm'). The model name match is prioritized, and the dimension difference is minimal. No other candidate has an exact model match. Therefore, candidate 1 is the best match."
Antenna,Kathrein,75010350,~1300 x ~1300 x ~405 mm,75010350,~1300 x ~1300 x ~400 mm,0.99,"Candidate 1 has an exact model name match (75010350) and highly similar dimensions (~1300 x ~1300 x ~400 mm vs ~405 mm), with a combined score of 0.935. No other candidate has an exact model match. This is the best and most reliable match."
Antenna,TBD,75010295,2326 x 460 x 520,75010295,~2326 x ~460 x ~520 x ~1280 mm,0.98,"Candidate 1 has an exact model name match (score 1.0) and the highest combined score. The dimensions are very similar, with only an extra value in the candidate, but the main three dimensions match closely. No other candidate has an exact model name match. Therefore, candidate 1 is the best match."
Antenna,Kathrein,K5231188V,810 x 1740 x 2500 mm,K5231188V,~810 x ~1740 x ~2490 mm,0.98,"Candidate 1 has an exact model name match (score 1.0), and the dimensions are very similar (score 0.837). No other candidate has an exact model name match. According to the rules, exact model name matches are prioritized even if dimensions differ slightly. Therefore, candidate 1 is the best match."
Antenna,Kathrein,CA5-400 (460 MHz),28 x 13 inches,CA5-400 (460 MHz),28.6 x 13.3 inches (727 x 338 mm),0.98,"Candidate 1 has an exact model name match ('CA5-400 (460 MHz)') and the dimensions are very close (28 x 13 inches vs 28.6 x 13.3 inches), which is acceptable. No other candidate has an exact model name match. Therefore, candidate 1 is the best match."
Antenna,Unknown,75010212,1000 x 190 x 500,75010212,1000 x 190 x 500 mm,1.0,"Candidate 1 has an exact model name match (score 1.0) and the dimensions match closely (score 0.914, only difference is the 'mm' suffix). This is the highest combined score and aligns with the prioritization of exact model name matches. No other candidate matches the model name exactly."
Antenna,Kathrein,600263,1400 x 1700 mm,600263,~1400 x ~1700 mm,1.0,"Candidate 1 has an exact model name match ('600263') and highly similar dimensions ('1400 x 1700 mm' vs '~1400 x ~1700 mm'). The combined score is the highest (0.902), and the model name score is perfect (1.0). This is a clear match according to the given criteria."
Antenna,Kathrein,K523157,1200 x 1200 x 360,K523157,~1200 x ~1200 x ~360 mm,1.0,Candidate 1 has an exact model name match ('K523157') and highly similar dimensions ('1200 x 1200 x 360' vs '~1200 x ~1200 x ~360 mm'). No other candidate has an exact model name match. This is the strongest possible match based on the provided criteria.
Antenna,Kathrein,7500100027,810 x 1740 x 2490 mm,7500100027,~810 x ~1740 x ~2490 mm,0.99,"Candidate 1 has an exact model name match (score 1.0) and very high dimension similarity (0.93). No other candidate has an exact model name match. As per instructions, prioritize exact model name matches even if dimensions are slightly different. Candidate 1 is the best and only exact match."
Antenna,Kathrein,75010367,2625 x 900 x 870,75010367,~2625 x ~900 x ~870 mm,1.0,"Candidate 1 has an exact model name match ('75010367') and highly similar dimensions ('2625 x 900 x 870' vs '~2625 x ~900 x ~870 mm'). No other candidate matches the model name exactly. Therefore, candidate 1 is the best and most confident match."
Antenna,Unknown,CA5-400,31 x 14 x 4 inches,CA5-400,31.5 x 14.3 x 4 inches (800 x 364 x 102 mm),0.95,"Candidate 1 has an exact model name match ('CA5-400') and the highest combined score. The dimensions are very similar, with only minor differences (likely due to rounding or measurement conventions). No other candidate has an exact model name match. This is the best match by a significant margin."
Antenna,Kathrein,75010066,1.4m height 330mm diameter,75010066,"1.4 m height, 330 mm diameter",1.0,"Candidate 1 has an exact model name match ('75010066') and highly similar dimensions ('1.4 m height, 330 mm diameter' vs '1.4m height 330mm diameter'). No other candidate has an exact model name match. This is the clear best match."
Antenna,TBD,K5231187H,810 x 2500 x 1750 mm,K5231187H,~810 x ~2490 x ~1740 mm,0.98,"Candidate 1 has an exact match on model_name ('K5231187H'), which is the highest priority. The dimensions are also very close (~810 x ~2490 x ~1740 mm vs 810 x 2500 x 1750 mm), with a high similarity score (0.791). No other candidate has an exact model_name match. Therefore, candidate 1 is the best match."
Antenna,Kathrein,75010999,1300 x 1300 x 400 mm,,,0.2,"None of the candidates have an exact model name match with '75010999'. The closest model names ('75010351', '75010350', '75010352') differ by several digits, indicating they are likely different models. While the dimensions are similar, the model name is the primary key for matching, and no candidate meets this criterion. Therefore, no suitable match is found."
